Function,Parameter name,Parameter type,Parameter tune value,Seed,score
BentCigar,elim_island,tune,3,20,9.99999984204494
BentCigar,elim_island,tune,3,21,9.99998009898251
BentCigar,elim_island,tune,3,22,9.999995608031817
BentCigar,elim_island,tune,3,23,9.999993242541658
BentCigar,elim_island,tune,3,24,9.999997267913034
BentCigar,elim_island,tune,3,25,9.999996324817326
BentCigar,elim_island,tune,3,26,9.999994733809562
BentCigar,elim_island,tune,3,27,9.999999855420812
BentCigar,elim_island,tune,3,28,9.999977009308967
BentCigar,elim_island,tune,3,29,9.999999998879183
BentCigar,elim_island,tune,3,30,9.999988297668486
BentCigar,elim_island,tune,3,31,9.999999544922266
BentCigar,elim_island,tune,3,32,9.999973341413664
BentCigar,elim_island,tune,3,33,9.999995312568513
BentCigar,elim_island,tune,3,34,9.999999032514332
BentCigar,elim_island,tune,3,35,9.999999177838726
BentCigar,elim_island,tune,3,36,9.99999992195082
BentCigar,elim_island,tune,3,37,9.999994749054036
BentCigar,elim_island,tune,3,38,9.999997326487335
BentCigar,elim_island,tune,3,39,9.999989846133369
BentCigar,elim_island,tune,3,40,9.999992896107784
BentCigar,elim_island,tune,3,41,9.999980893527772
BentCigar,elim_island,tune,3,42,9.999966246092328
BentCigar,elim_island,tune,3,43,9.999996313359354
BentCigar,elim_island,tune,3,44,9.999997187483407
BentCigar,elim_island,tune,3,45,9.999995806678934
BentCigar,elim_island,tune,3,46,9.999999590534209
BentCigar,elim_island,tune,3,47,9.999983643325281
BentCigar,elim_island,tune,3,48,9.999976658884279
BentCigar,elim_island,tune,3,49,9.999981144593912
BentCigar,elim_island,tune,3,50,9.999998941738756
Function,Parameter name,Parameter type,Parameter tune value,Seed,score
BentCigar,elim_island,tune,4,1,9.999984534701525
BentCigar,elim_island,tune,4,2,9.999993481390183
BentCigar,elim_island,tune,4,3,9.999997791154712
BentCigar,elim_island,tune,4,4,9.999997865053723
BentCigar,elim_island,tune,4,5,9.999989246320562
BentCigar,elim_island,tune,4,6,9.999991809493556
BentCigar,elim_island,tune,4,7,9.99999035548492
BentCigar,elim_island,tune,4,8,9.999999512875116
BentCigar,elim_island,tune,4,9,9.999996541168773
BentCigar,elim_island,tune,4,10,9.999990244399498
BentCigar,elim_island,tune,4,11,9.99999984936759
BentCigar,elim_island,tune,4,12,9.999998116845267
BentCigar,elim_island,tune,4,13,9.999995778887179
BentCigar,elim_island,tune,4,14,9.99999998688052
BentCigar,elim_island,tune,4,15,9.999997955188835
BentCigar,elim_island,tune,4,16,9.999994551356643
BentCigar,elim_island,tune,4,17,9.999999984601114
BentCigar,elim_island,tune,4,18,9.999999341794254
BentCigar,elim_island,tune,4,19,9.99999572213868
BentCigar,elim_island,tune,4,20,9.99999904479526
BentCigar,elim_island,tune,4,21,9.999999590357426
BentCigar,elim_island,tune,4,22,9.999979092142055
BentCigar,elim_island,tune,4,23,9.999990039374687
BentCigar,elim_island,tune,4,24,9.999998322794797
BentCigar,elim_island,tune,4,25,9.999979582828356
BentCigar,elim_island,tune,4,26,9.999992287558811
BentCigar,elim_island,tune,4,27,9.999995875894252
BentCigar,elim_island,tune,4,28,9.99999806670475
BentCigar,elim_island,tune,4,29,9.999999693662163
BentCigar,elim_island,tune,4,30,9.999998869652766
BentCigar,elim_island,tune,4,31,9.999988952865026
BentCigar,elim_island,tune,4,32,9.999998497988564
BentCigar,elim_island,tune,4,33,9.999991351827438
BentCigar,elim_island,tune,4,34,9.999992311581282
BentCigar,elim_island,tune,4,35,9.999990134761576
BentCigar,elim_island,tune,4,36,9.99999291620943
BentCigar,elim_island,tune,4,37,9.999996959370435
BentCigar,elim_island,tune,4,38,9.999980484611386
BentCigar,elim_island,tune,4,39,9.999975257497852
BentCigar,elim_island,tune,4,40,9.999980862038807
BentCigar,elim_island,tune,4,41,9.999999376240106
BentCigar,elim_island,tune,4,42,9.999979261725729
BentCigar,elim_island,tune,4,43,9.999996503094415
BentCigar,elim_island,tune,4,44,9.999993051325951
BentCigar,elim_island,tune,4,45,9.999999852441046
BentCigar,elim_island,tune,4,46,9.999999998356488
BentCigar,elim_island,tune,4,47,9.999998080102303
BentCigar,elim_island,tune,4,48,9.99999998386102
BentCigar,elim_island,tune,4,49,9.999996576323056
BentCigar,elim_island,tune,4,50,9.99999985672729
Function,Parameter name,Parameter type,Parameter tune value,Seed,score
BentCigar,elim_island,tune,5,1,9.999995601355694
BentCigar,elim_island,tune,5,2,9.999995598274499
BentCigar,elim_island,tune,5,3,9.999991909386331
BentCigar,elim_island,tune,5,4,9.99999132230374
BentCigar,elim_island,tune,5,5,9.99999998171393
BentCigar,elim_island,tune,5,6,9.99998965675045
BentCigar,elim_island,tune,5,7,9.999997229525787
BentCigar,elim_island,tune,5,8,9.999999756893361
BentCigar,elim_island,tune,5,9,9.99999796557559
BentCigar,elim_island,tune,5,10,9.999987266476376
BentCigar,elim_island,tune,5,11,9.999999539494437
BentCigar,elim_island,tune,5,12,9.999964265124815
BentCigar,elim_island,tune,5,13,9.999987773634492
BentCigar,elim_island,tune,5,14,9.99999889918881
BentCigar,elim_island,tune,5,15,9.999991900852516
BentCigar,elim_island,tune,5,16,9.999999999982403
BentCigar,elim_island,tune,5,17,9.999982470712533
BentCigar,elim_island,tune,5,18,9.999992027844055
BentCigar,elim_island,tune,5,19,9.999996455788171
BentCigar,elim_island,tune,5,20,9.99999812628263
BentCigar,elim_island,tune,5,21,9.999998958376025
BentCigar,elim_island,tune,5,22,9.999976123722625
BentCigar,elim_island,tune,5,23,9.999975417228965
BentCigar,elim_island,tune,5,24,9.999997744623212
BentCigar,elim_island,tune,5,25,9.999991232583774
BentCigar,elim_island,tune,5,26,9.999986794329715
BentCigar,elim_island,tune,5,27,9.999983979962956
BentCigar,elim_island,tune,5,28,9.999973773095288
BentCigar,elim_island,tune,5,29,9.999999545014548
BentCigar,elim_island,tune,5,30,9.999996312373327
BentCigar,elim_island,tune,5,31,9.99999889640356
BentCigar,elim_island,tune,5,32,9.999999753417711
BentCigar,elim_island,tune,5,33,9.999998441577473
BentCigar,elim_island,tune,5,34,9.999991882739033
BentCigar,elim_island,tune,5,35,9.999998331548966
BentCigar,elim_island,tune,5,36,9.999999858991405
BentCigar,elim_island,tune,5,37,9.999987907103465
BentCigar,elim_island,tune,5,38,9.999991658266659
BentCigar,elim_island,tune,5,39,9.999965094046724
BentCigar,elim_island,tune,5,40,9.999995994263106
BentCigar,elim_island,tune,5,41,9.999978881862896
BentCigar,elim_island,tune,5,42,9.999992213512915
BentCigar,elim_island,tune,5,43,9.999993353929824
BentCigar,elim_island,tune,5,44,9.999998331873174
BentCigar,elim_island,tune,5,45,9.99999855568478
BentCigar,elim_island,tune,5,46,9.999994636954781
BentCigar,elim_island,tune,5,47,9.999997088441168
BentCigar,elim_island,tune,5,48,9.99999269963434
BentCigar,elim_island,tune,5,49,9.999976926209952
BentCigar,elim_island,tune,5,50,9.999993740025776
Function,Parameter name,Parameter type,Parameter tune value,Seed,score
BentCigar,elim_island,tune,6,1,9.999979719438784
BentCigar,elim_island,tune,6,2,9.999999724060944
