Function,Parameter name,Parameter type,Parameter tune value,Seed,score
KatsuuraEvaluation,cross_interval,tune,80,10,8.804781019359536
Function,Parameter name,Parameter type,Parameter tune value,Seed,score
KatsuuraEvaluation,cross_interval,tune,90,1,8.647232525781032
KatsuuraEvaluation,cross_interval,tune,90,2,9.119676308794531
KatsuuraEvaluation,cross_interval,tune,90,3,8.126928133575118
KatsuuraEvaluation,cross_interval,tune,90,4,8.797791794152058
KatsuuraEvaluation,cross_interval,tune,90,5,9.143388443666515
KatsuuraEvaluation,cross_interval,tune,90,6,9.66928640442331
KatsuuraEvaluation,cross_interval,tune,90,7,9.247015208928415
KatsuuraEvaluation,cross_interval,tune,90,8,9.806210732213327
KatsuuraEvaluation,cross_interval,tune,90,9,9.269990124221765
KatsuuraEvaluation,cross_interval,tune,90,10,9.094155123139487
Function,Parameter name,Parameter type,Parameter tune value,Seed,score
KatsuuraEvaluation,cross_interval,tune,100,1,8.899717012846605
KatsuuraEvaluation,cross_interval,tune,100,2,8.625707682895442
KatsuuraEvaluation,cross_interval,tune,100,3,9.900810982636397
KatsuuraEvaluation,cross_interval,tune,100,4,9.853688660171745
KatsuuraEvaluation,cross_interval,tune,100,5,8.935788134691117
KatsuuraEvaluation,cross_interval,tune,100,6,9.54748765662264
KatsuuraEvaluation,cross_interval,tune,100,7,9.130349279171279
KatsuuraEvaluation,cross_interval,tune,100,8,9.58537127078114
KatsuuraEvaluation,cross_interval,tune,100,9,9.140425330715713
KatsuuraEvaluation,cross_interval,tune,100,10,8.877815559582347
Function,Parameter name,Parameter type,Parameter tune value,Seed,score
KatsuuraEvaluation,cross_interval,tune,110,1,9.32560972430584
KatsuuraEvaluation,cross_interval,tune,110,2,8.857106453353023
KatsuuraEvaluation,cross_interval,tune,110,3,8.77194989895749
KatsuuraEvaluation,cross_interval,tune,110,4,9.824598268062223
KatsuuraEvaluation,cross_interval,tune,110,5,8.950885194205615
KatsuuraEvaluation,cross_interval,tune,110,6,8.771697704135073
KatsuuraEvaluation,cross_interval,tune,110,7,9.627714776671393
KatsuuraEvaluation,cross_interval,tune,110,8,9.518020409068262
KatsuuraEvaluation,cross_interval,tune,110,9,9.448885449176661
KatsuuraEvaluation,cross_interval,tune,110,10,9.113600699832359
Function,Parameter name,Parameter type,Parameter tune value,Seed,score
KatsuuraEvaluation,cross_interval,tune,120,1,9.062043720987296
KatsuuraEvaluation,cross_interval,tune,120,2,8.651242948748624
KatsuuraEvaluation,cross_interval,tune,120,3,9.126259344459527
KatsuuraEvaluation,cross_interval,tune,120,4,9.14386378882687
KatsuuraEvaluation,cross_interval,tune,120,5,8.569755493952675
KatsuuraEvaluation,cross_interval,tune,120,6,9.009325908273643
KatsuuraEvaluation,cross_interval,tune,120,7,9.498517086028702
KatsuuraEvaluation,cross_interval,tune,120,8,9.475973630909012
KatsuuraEvaluation,cross_interval,tune,120,9,9.408286354268101
KatsuuraEvaluation,cross_interval,tune,120,10,9.091849231155916
Function,Parameter name,Parameter type,Parameter tune value,Seed,score
KatsuuraEvaluation,cross_interval,tune,130,1,9.392510325935122
KatsuuraEvaluation,cross_interval,tune,130,2,8.990405866455536
KatsuuraEvaluation,cross_interval,tune,130,3,9.291569940517649
KatsuuraEvaluation,cross_interval,tune,130,4,9.519148520167288
KatsuuraEvaluation,cross_interval,tune,130,5,9.125390958656311
KatsuuraEvaluation,cross_interval,tune,130,6,8.976105624910701
KatsuuraEvaluation,cross_interval,tune,130,7,9.734324754148455
KatsuuraEvaluation,cross_interval,tune,130,8,9.659471741392098
KatsuuraEvaluation,cross_interval,tune,130,9,8.711259340272344
KatsuuraEvaluation,cross_interval,tune,130,10,9.250759931029558
Function,Parameter name,Parameter type,Parameter tune value,Seed,score
KatsuuraEvaluation,cross_interval,tune,140,1,9.057682043095532
KatsuuraEvaluation,cross_interval,tune,140,2,9.391849110123738
KatsuuraEvaluation,cross_interval,tune,140,3,9.14502099931098
KatsuuraEvaluation,cross_interval,tune,140,4,9.296077062633094
KatsuuraEvaluation,cross_interval,tune,140,5,8.991107643555674
KatsuuraEvaluation,cross_interval,tune,140,6,9.187263120060274
KatsuuraEvaluation,cross_interval,tune,140,7,9.510807907818432
KatsuuraEvaluation,cross_interval,tune,140,8,9.60890924886953
KatsuuraEvaluation,cross_interval,tune,140,9,9.027342756074507
KatsuuraEvaluation,cross_interval,tune,140,10,9.76266108283468
Function,Parameter name,Parameter type,Parameter tune value,Seed,score
KatsuuraEvaluation,cross_interval,tune,150,1,8.88973120225559
KatsuuraEvaluation,cross_interval,tune,150,2,9.20933593326689
KatsuuraEvaluation,cross_interval,tune,150,3,9.711777175267567
KatsuuraEvaluation,cross_interval,tune,150,4,9.36354138892819
