Function,Parameter name,Parameter type,Parameter tune value,Amount seeds,Mean score
KatsuuraEvaluation,cross_interval,tune,950,10,8.716794748028326
KatsuuraEvaluation,cross_interval,tune,960,10,8.988279800463628
KatsuuraEvaluation,cross_interval,tune,970,10,9.049851524293883
KatsuuraEvaluation,cross_interval,tune,980,10,8.775751385414722
KatsuuraEvaluation,cross_interval,tune,990,10,8.912092278161495
KatsuuraEvaluation,cross_interval,tune,1000,10,8.921741076361847
KatsuuraEvaluation,cross_interval,tune,1010,10,8.82554351452649
KatsuuraEvaluation,cross_interval,tune,1020,10,8.991087247027856
KatsuuraEvaluation,cross_interval,tune,1030,10,8.84052006615373
KatsuuraEvaluation,cross_interval,tune,1040,10,8.817847157070789
KatsuuraEvaluation,cross_interval,tune,1050,10,8.75541914861704
KatsuuraEvaluation,cross_interval,tune,1060,10,8.935262436032986
KatsuuraEvaluation,cross_interval,tune,1070,10,8.85067796236617
KatsuuraEvaluation,cross_interval,tune,1080,10,8.85010814165264
KatsuuraEvaluation,cross_interval,tune,1090,10,8.508687919409113
KatsuuraEvaluation,cross_interval,tune,1100,10,9.091356818774829
KatsuuraEvaluation,cross_interval,tune,1110,10,8.80496732638557
KatsuuraEvaluation,cross_interval,tune,1120,10,8.77530468319588
KatsuuraEvaluation,cross_interval,tune,1130,10,9.027612139706179
KatsuuraEvaluation,cross_interval,tune,1140,10,8.794598453195285
KatsuuraEvaluation,cross_interval,tune,1150,10,8.60456344699865
KatsuuraEvaluation,cross_interval,tune,1160,10,8.818052826835165
KatsuuraEvaluation,cross_interval,tune,1170,10,8.771887059893771
KatsuuraEvaluation,cross_interval,tune,1180,10,8.811307457265077
KatsuuraEvaluation,cross_interval,tune,1190,10,9.061953757780149
KatsuuraEvaluation,cross_interval,tune,1200,10,8.884882191226122
KatsuuraEvaluation,cross_interval,tune,1210,10,8.986830110971756
KatsuuraEvaluation,cross_interval,tune,1220,10,8.937821226918905
KatsuuraEvaluation,cross_interval,tune,1230,10,8.720978345549272
KatsuuraEvaluation,cross_interval,tune,1240,10,8.750858337814375
KatsuuraEvaluation,cross_interval,tune,1250,10,8.645098665773155
KatsuuraEvaluation,cross_interval,tune,1260,10,8.872045610444074
KatsuuraEvaluation,cross_interval,tune,1270,10,8.959562989522704
KatsuuraEvaluation,cross_interval,tune,1280,10,8.907180291663021
KatsuuraEvaluation,cross_interval,tune,1290,10,8.783785911519825
KatsuuraEvaluation,cross_interval,tune,1300,10,8.867829121395868
KatsuuraEvaluation,cross_interval,tune,1310,10,8.99227415331099
KatsuuraEvaluation,cross_interval,tune,1320,10,8.900150814090672
KatsuuraEvaluation,cross_interval,tune,1330,10,8.922866673742373
KatsuuraEvaluation,cross_interval,tune,1340,10,8.864480421906778
KatsuuraEvaluation,cross_interval,tune,1350,10,8.718803173971326
KatsuuraEvaluation,cross_interval,tune,1360,10,8.886762845227148
KatsuuraEvaluation,cross_interval,tune,1370,10,8.925410337019368
KatsuuraEvaluation,cross_interval,tune,1380,10,8.845153211370478
KatsuuraEvaluation,cross_interval,tune,1390,10,8.715842226078454
KatsuuraEvaluation,cross_interval,tune,1400,10,8.974696859425013
KatsuuraEvaluation,cross_interval,tune,1410,10,8.930414539904897
KatsuuraEvaluation,cross_interval,tune,1420,10,8.78023335884089
KatsuuraEvaluation,cross_interval,tune,1430,10,8.844539334784999
KatsuuraEvaluation,cross_interval,tune,1440,10,8.77194046060725
KatsuuraEvaluation,cross_interval,tune,1450,10,8.897228993456526
KatsuuraEvaluation,cross_interval,tune,1460,10,8.76931754258732
KatsuuraEvaluation,cross_interval,tune,1470,10,8.811345471826359
KatsuuraEvaluation,cross_interval,tune,1480,10,8.748249369641217
KatsuuraEvaluation,cross_interval,tune,1490,10,8.82120157962828
KatsuuraEvaluation,cross_interval,tune,1500,10,8.81915954693308
KatsuuraEvaluation,cross_interval,tune,1510,10,8.771964140884567
KatsuuraEvaluation,cross_interval,tune,1520,10,8.753033505302657
KatsuuraEvaluation,cross_interval,tune,1530,10,8.963198481303001
KatsuuraEvaluation,cross_interval,tune,1540,10,8.841629869893918
KatsuuraEvaluation,cross_interval,tune,1550,10,8.913898943666844
KatsuuraEvaluation,cross_interval,tune,1560,10,8.776468004641703
KatsuuraEvaluation,cross_interval,tune,1570,10,8.98686546982216
KatsuuraEvaluation,cross_interval,tune,1580,10,8.676964550413611
KatsuuraEvaluation,cross_interval,tune,1590,10,8.69426655964094
KatsuuraEvaluation,cross_interval,tune,1600,10,8.797464916706673
KatsuuraEvaluation,cross_interval,tune,1610,10,8.95136908259804
KatsuuraEvaluation,cross_interval,tune,1620,10,8.965759560194323
KatsuuraEvaluation,cross_interval,tune,1630,10,8.54492830744879
KatsuuraEvaluation,cross_interval,tune,1640,10,8.671360657511764
KatsuuraEvaluation,cross_interval,tune,1650,10,8.811733222869162
KatsuuraEvaluation,cross_interval,tune,1660,10,8.76097082080253
KatsuuraEvaluation,cross_interval,tune,1670,10,8.691639557017659
KatsuuraEvaluation,cross_interval,tune,1680,10,8.98720716287033
KatsuuraEvaluation,cross_interval,tune,1690,10,8.808822882656788
KatsuuraEvaluation,cross_interval,tune,1700,10,9.057485896478745
KatsuuraEvaluation,cross_interval,tune,1710,10,8.843105457914074
KatsuuraEvaluation,cross_interval,tune,1720,10,9.087921987248446
