Function,Parameter name,Parameter type,Parameter tune value,Seed,score
SchaffersEvaluation,cross_interval,tune,1,50,10.0
Function,Parameter name,Parameter type,Parameter tune value,Seed,score
SchaffersEvaluation,cross_interval,tune,2,1,9.999995125846713
SchaffersEvaluation,cross_interval,tune,2,2,9.99998031512628
SchaffersEvaluation,cross_interval,tune,2,3,9.999959462579147
SchaffersEvaluation,cross_interval,tune,2,4,9.997349462093965
SchaffersEvaluation,cross_interval,tune,2,5,10.0
SchaffersEvaluation,cross_interval,tune,2,6,9.998975127196548
SchaffersEvaluation,cross_interval,tune,2,7,10.0
SchaffersEvaluation,cross_interval,tune,2,8,9.999911907843588
SchaffersEvaluation,cross_interval,tune,2,9,9.97641634405434
SchaffersEvaluation,cross_interval,tune,2,10,10.0
SchaffersEvaluation,cross_interval,tune,2,11,9.999955012762529
SchaffersEvaluation,cross_interval,tune,2,12,9.955625735170226
SchaffersEvaluation,cross_interval,tune,2,13,10.0
SchaffersEvaluation,cross_interval,tune,2,14,9.999957287762532
SchaffersEvaluation,cross_interval,tune,2,15,9.999994110388931
SchaffersEvaluation,cross_interval,tune,2,16,9.999922595005213
SchaffersEvaluation,cross_interval,tune,2,17,9.998975124397544
SchaffersEvaluation,cross_interval,tune,2,18,10.0
SchaffersEvaluation,cross_interval,tune,2,19,9.999301874960294
SchaffersEvaluation,cross_interval,tune,2,20,9.999993584713717
SchaffersEvaluation,cross_interval,tune,2,21,10.0
SchaffersEvaluation,cross_interval,tune,2,22,10.0
SchaffersEvaluation,cross_interval,tune,2,23,9.999841615062703
SchaffersEvaluation,cross_interval,tune,2,24,9.999960625339831
SchaffersEvaluation,cross_interval,tune,2,25,9.999480160625033
SchaffersEvaluation,cross_interval,tune,2,26,9.999980311315543
SchaffersEvaluation,cross_interval,tune,2,27,9.99996058668994
SchaffersEvaluation,cross_interval,tune,2,28,9.999703404986661
SchaffersEvaluation,cross_interval,tune,2,29,9.999841926502533
SchaffersEvaluation,cross_interval,tune,2,30,10.0
SchaffersEvaluation,cross_interval,tune,2,31,10.0
SchaffersEvaluation,cross_interval,tune,2,32,10.0
SchaffersEvaluation,cross_interval,tune,2,33,9.999881001396583
SchaffersEvaluation,cross_interval,tune,2,34,10.0
SchaffersEvaluation,cross_interval,tune,2,35,10.0
SchaffersEvaluation,cross_interval,tune,2,36,10.0
SchaffersEvaluation,cross_interval,tune,2,37,9.999878002109021
SchaffersEvaluation,cross_interval,tune,2,38,10.0
SchaffersEvaluation,cross_interval,tune,2,39,10.0
SchaffersEvaluation,cross_interval,tune,2,40,9.999979980321177
SchaffersEvaluation,cross_interval,tune,2,41,9.999841267738876
SchaffersEvaluation,cross_interval,tune,2,42,9.999993916550382
SchaffersEvaluation,cross_interval,tune,2,43,9.999877332738915
SchaffersEvaluation,cross_interval,tune,2,44,10.0
SchaffersEvaluation,cross_interval,tune,2,45,9.999760129637576
SchaffersEvaluation,cross_interval,tune,2,46,9.999693171029351
SchaffersEvaluation,cross_interval,tune,2,47,9.999950610684445
SchaffersEvaluation,cross_interval,tune,2,48,9.999994195159024
SchaffersEvaluation,cross_interval,tune,2,49,9.997255003882149
SchaffersEvaluation,cross_interval,tune,2,50,9.999980276406292
Function,Parameter name,Parameter type,Parameter tune value,Seed,score
SchaffersEvaluation,cross_interval,tune,3,1,10.0
SchaffersEvaluation,cross_interval,tune,3,2,9.99989577718457
SchaffersEvaluation,cross_interval,tune,3,3,9.999926083291253
SchaffersEvaluation,cross_interval,tune,3,4,9.999434214426223
SchaffersEvaluation,cross_interval,tune,3,5,9.999977133615456
SchaffersEvaluation,cross_interval,tune,3,6,10.0
SchaffersEvaluation,cross_interval,tune,3,7,10.0
SchaffersEvaluation,cross_interval,tune,3,8,10.0
SchaffersEvaluation,cross_interval,tune,3,9,9.999201698019228
SchaffersEvaluation,cross_interval,tune,3,10,9.999924924136327
SchaffersEvaluation,cross_interval,tune,3,11,9.999994619068824
SchaffersEvaluation,cross_interval,tune,3,12,9.999960179718688
SchaffersEvaluation,cross_interval,tune,3,13,10.0
SchaffersEvaluation,cross_interval,tune,3,14,9.999883044103324
SchaffersEvaluation,cross_interval,tune,3,15,10.0
SchaffersEvaluation,cross_interval,tune,3,16,9.999875278493393
SchaffersEvaluation,cross_interval,tune,3,17,9.908586538329013
SchaffersEvaluation,cross_interval,tune,3,18,9.999611199948106
SchaffersEvaluation,cross_interval,tune,3,19,9.999952260845
SchaffersEvaluation,cross_interval,tune,3,20,9.996355179914172
SchaffersEvaluation,cross_interval,tune,3,21,10.0
SchaffersEvaluation,cross_interval,tune,3,22,10.0
SchaffersEvaluation,cross_interval,tune,3,23,9.999994715611205
SchaffersEvaluation,cross_interval,tune,3,24,9.998505128741952
SchaffersEvaluation,cross_interval,tune,3,25,9.999479961401676
SchaffersEvaluation,cross_interval,tune,3,26,9.999980226480746
